created_at,article,pageid,user,bytes,comment,project
2026-09-24T20:19:41Z,جاده_۶۹_(ایران),7013375,Delaram67,591,صفحه‌ای تازه حاوی «{{جعبه اطلاعات جاده |country=IRN |type=road |route = ۶۹ |terminus_a= [[کرمان]]، [[استان کرمان]] |terminus_b = [[نهبندان]]، [[استان خراسان جنوبی]] |length_km= ۳۷۵ |provinces= [[استا…,fa.wikipedia.org
2026-09-24T20:33:29Z,مالیبا_لاج,7013379,Amirreza2345,3060,افزودن مطلب جدید,fa.wikipedia.org
2026-09-24T20:38:58Z,انجمن_کوه‌پیمایی_نروژ,7013381,Amirmojiry,7497,ایجاد صفحه بر پایه صفحه انگلیسی,fa.wikipedia.org
2026-09-24T20:41:02Z,لیگ_برتر_فوتسال_ایران_۱۳۸۶,7013384,Ehsanf2018,2121,صفحه‌ای تازه حاوی «{{Infobox football league season | competition = [[لیگ برتر فوتسال مردان ایران]] | season = ۱۳۸۶ | winners = '''[[باشگاه فوتسال تام ایران خودرو|تام ایران خودرو]]''' (دومین قهرمانی)…,fa.wikipedia.org
2026-09-24T20:57:10Z,پرواز_۶۰۴_هواپیمایی_فلش,7013395,Arvin88,3003,ایجاد شده به‌واسطهٔ ترجمهٔ صفحهٔ «[[:en:Special:Redirect/revision/1368215206|Flash Airlines Flight 604]]»,fa.wikipedia.org
2026-09-24T20:59:30Z,جنگ_داعش_با_ایران,7013396,Jo mklo,138,صفحه‌ای تازه حاوی « == منابع == {{پانویس}} <!--- رده‌بندی ---> [[رده:مقاله‌های ایجادشده توسط ایجادگر]]» ایجاد کرد,fa.wikipedia.org
2026-09-24T21:06:03Z,باشگاه_کریکت_شهرستان_اسکس,7013399,Blqk yeloow,42379,تولید مقاله,fa.wikipedia.org
