created_at,article,pageid,user,bytes,comment,project
2026-09-26T03:20:29Z,سرخس_کمانی,7014591,Mamouri,815,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:23:10Z,سرخس_مارزنگی,7014595,Mamouri,839,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:24:27Z,چمن‌جاروی_جنگلی_ژاپنی,7014597,Mamouri,903,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:26:39Z,چمن‌جاروی_جنگلی,7014601,Mamouri,895,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:28:30Z,کلم_زراعی,7014604,Mamouri,777,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:30:42Z,کلم_واژگون,7014605,Mamouri,793,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:32:28Z,جاروی_علفی_مجاور,7014608,Mamouri,826,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:35:49Z,همیشه‌بهار_فلسطینی,7014611,Mamouri,826,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:38:13Z,شیشه_شور_برگ_بیدی,7014613,Mamouri,866,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:40:50Z,شیشه‌شور_مجنون,7014614,Mamouri,866,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:42:20Z,همیشه‌بهار_باتلاقی_سفید,7014615,Mamouri,873,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:44:20Z,گل‌استکانی_ریش‌دار,7014617,Mamouri,852,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:46:18Z,گل‌استکانی_قره‌باغی,7014619,Mamouri,874,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:48:04Z,گل‌استکانی_بونونی,7014620,Mamouri,862,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:50:10Z,گل‌استکانی_سفید,7014622,Mamouri,844,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:51:31Z,گل‌استکانی_مواج,7014623,Mamouri,838,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:53:40Z,گل‌استکانی_میشوداغی,7014626,Mamouri,900,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:55:48Z,گل‌استکانی_طناز,7014627,Mamouri,846,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:57:56Z,گل‌استکانی_کوتوله,7014628,Mamouri,860,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T03:59:20Z,گل‌استکانی_خارپشتی,7014629,Mamouri,864,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:01:17Z,گل‌استکانی_صخره‌ای,7014631,Mamouri,876,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:03:16Z,گل‌استکانی_برگه‌دار,7014633,Mamouri,898,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:05:00Z,گل‌استکانی_قره‌قوشی,7014634,Mamouri,894,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:05:01Z,پیوتر_باگراتیون,7014635,Amir4400,29,صفحه‌ای تازه حاوی «پیوتر باگراتیون» ایجاد کرد,fa.wikipedia.org
2026-09-26T04:06:46Z,گل‌استکانی_کرمانی,7014637,Mamouri,920,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:08:50Z,گل‌استکانی_خراسانی,7014638,Mamouri,914,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:10:30Z,گل‌استکانی_شیری_رنگ,7014639,Mamouri,874,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:12:13Z,گل‌استکانی_غول‌آسا,7014641,Mamouri,860,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:13:29Z,گل‌استکانی_لورا,7014643,Mamouri,846,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:14:28Z,تاریخ_فدراسیون_روسیه,7014645,FarsMZ,193326,صفحه‌ای تازه حاوی «{{درباره|تاریخ روسیه پس از فروپاشی اتحاد جماهیر شوروی|تاریخ روسیه پیش از ۱۹۹۱|تاریخ روسیه}} {{تغییرمسیر|روسیه پساشوروی|متن=ممکن است به دنبال [[روسیه]] یا [[سیاست در روسیه]] پس از ف…,fa.wikipedia.org
2026-09-26T04:15:34Z,گل‌استکانی_لرستانی,7014646,Mamouri,872,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:17:00Z,گل‌استکانی_سایه‌پسند,7014647,Mamouri,888,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:19:11Z,گل‌استکانی_کوتاه,7014649,Mamouri,860,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:19:23Z,تاریخ_ماکائو,7014651,FarsMZ,81974,صفحه‌ای تازه حاوی «{{جعبه اطلاعات تاریخ ماکائو}} {{فرهنگ ماکائو}} [[پرونده:Saopaulo Chinnery.jpg|بندانگشتی|[[ویرانه‌های کلیسای سنت پل|کلیسای جامع سنت پل]] در سدهٔ نوزدهم اثر [[جورج چینری]] (۱۷۷۴–۱۸۵۲…,fa.wikipedia.org
