created_at,article,pageid,user,bytes,comment,project
2026-09-23T16:12:19Z,بال_۱۱۸,7012694,Ali.eblis1,4363,از یگان‌های نیروهای مسلح آمریکا,fa.wikipedia.org
2026-09-23T16:21:29Z,گارد_ملی_هوایی_تنسی,7012696,Ali.eblis1,6041,از یگان‌های نیروهای مسلح آمریکا,fa.wikipedia.org
2026-09-23T16:24:16Z,نیما_اوجی,7012698,Technokinj,14427,صفحه نیما اوجی ایجاد شد,fa.wikipedia.org
2026-09-23T16:26:14Z,علیرضا_فرجیان,7012699,MehdiLouchi,6102,ایجاد مقاله علیرضا فرجیان (بازیکن فوتبال)؛ اثبات سرشناسی (WP:NFOOTY) با سابقه قهرمانی در لیگ آزادگان و صعود به لیگ برتر + استناد به منابع معتبر (خبرگزاری صدا و سیما و وبگاه رسمی سپاهان),fa.wikipedia.org
2026-09-23T16:37:00Z,کایزرشتراسه,7012705,M-nemat,5283,ایجاد صفحه جدید با ترجمه از متن آلمانی,fa.wikipedia.org
2026-09-23T16:43:22Z,باشگاه_فوتسال_زنان_پرسپولیس,7012707,Ehsanf2018,4244,صفحه‌ای تازه حاوی «{{جعبه باشگاه فوتبال |نام باشگاه = پرسپولیس |نام کامل = باشگاه فوتسال زنان پرسپولیس |تصویر = |لقب = |تأسیس = |انحلال = |ورزشگاه = |گنجایش = |مالک = |مدیریت = |مربی = |لیگ = [[لیگ ب…,fa.wikipedia.org
2026-09-23T16:46:24Z,بال_۱۴_آموزش_پرواز,7012710,Ali.eblis1,3841,از یگان‌های نیروهای مسلح آمریکا,fa.wikipedia.org
2026-09-23T16:47:11Z,همتاخت,7012711,Taddah,1802,ایجادشده به کمک [[راهنما:ابزار/به ویکی‌فا|به ویکی‌فا]] و Dexbot، ابرابزار,fa.wikipedia.org
2026-09-23T17:03:12Z,میدان_رس_مارکت_(فرانکفورت),7012719,M-nemat,4622,ایجاد صفحه جدید با ترجمه از متن آلمانی,fa.wikipedia.org
