created_at,article,pageid,user,bytes,comment,project
2026-09-25T15:25:52Z,"Woody,_el_árbol_de_Navidad_parlante",11606740,Zortsia,5812,Creado al traducir la página «[[:en:Special:Redirect/revision/1332397910|Woody the Talking Christmas Tree]]»,es.wikipedia.org
2026-09-25T15:33:35Z,Josefina_de_Thürheim,11606741,Mdeazpeitia,5611,"Página creada con «{{Ficha de noble |nombre = Josefine von Thürheim |nombre completo = Josefine Franziska Maria, condesa von Thürheim |título = Gräfin<br/>(en alemán, condesa) |imagen = Mein Leben -…",es.wikipedia.org
2026-09-25T15:33:52Z,Villa_romana_de_Noville,11606742,Miguel.lm1,4443,"Página creada con «La '''villa romana de Noville''' es un yacimiento arqueológico romano de tipo costero (''villa a mare''), situado en la parroquia de Franza, en el municipio de [[Mugardos]] (provin…",es.wikipedia.org
2026-09-25T15:43:26Z,Monumento_Postal_Universal,11606747,Babelia,4237,Página creada con «{{Ficha de monumento | integrada = | nombre = Monumento Postal Universal | nombre local = Weltpostdenkmal | catalogación = | catalogación2 = | catalogación3 = | catalogación4 = | i…,es.wikipedia.org
2026-09-25T15:57:36Z,(28363)_1999_GN6,11606750,Casisgaal,5034,Nuevo asteroide,es.wikipedia.org
2026-09-25T16:00:09Z,Adalbert_Probst,11606756,Adolfobrigido,1606,crear artículo traducción del https://en.wikipedia.org/wiki/Catholic_resistance_to_Nazi_Germany,es.wikipedia.org
2026-09-25T16:00:47Z,Sigo_Atravesando_Puertas,11606757,Ghotlv,8776,Página creada con «{{Ficha de álbum | nombre = Sigo atravesando puertas | tipo = [[Álbum en vivo]] | artista = [[El Cuarteto de Nos]] | publicación = 20 de marzo de 2026 | grabación = 21 de septiembr…,es.wikipedia.org
2026-09-25T16:06:43Z,Escuela_Normal_de_Borden,11606759,Althair,1969,Creado al traducir la página «[[:en:Special:Redirect/revision/1372721157|Borden Normal School]]»,es.wikipedia.org
2026-09-25T16:08:29Z,Hotel_Kaaterskill,11606761,Althair,4931,Creado al traducir la página «[[:de:Special:Redirect/revision/256969934|Kaaterskill Hotel]]»,es.wikipedia.org
2026-09-25T16:11:30Z,Raro_(Live_Session),11606764,Ghotlv,9241,"Página creada con «{{Ficha de álbum | nombre = Raro (Live Session) | tipo = [[EP]] | artista = [[El Cuarteto de Nos]] | publicación = 27 de agosto de 2026 | grabación = 2026 | género = [[Rock]], [[ro…",es.wikipedia.org
2026-09-25T16:13:10Z,Rivadávia_da_Cunha_Correia,11606765,Chalisimo5,8414,Página creada con «{{ficha de persona | escudo = Coat_of_arms_of_Brazil_(1889–1968).svg | cargo = [[Senado Federal del Brasil|Senador federal de los Estados Unidos de Brasil]] | distrito = [[Río Gran…,es.wikipedia.org
2026-09-25T16:17:02Z,(29874)_Rogerculver,11606767,Casisgaal,5707,Nuevo asteroide,es.wikipedia.org
