created_at,article,pageid,user,bytes,comment,project
2026-09-24T14:22:27Z,فروميل,10521274,Doaa970,13998,أنشأ الصفحة ب'{{صندوق معلومات تجمع سكاني |الاسم الرسمي=فروميل |حالة البلدية=[[بلديات فرنسا|بلدية]] |الصورة=FromellesVillage.jpg |تعليق الصورة=قرية فروميل |شعار النبالة=Blason de la ville de Fromelles…,ar.wikipedia.org
2026-09-24T14:50:14Z,جماعة_رضا_مصطفى,10521283,يوسوفت,2745,"تم الإنشاء بترجمة القسم الافتتاحي من الصفحة "" [[:en:Special:Redirect/revision/1370457090|Jama'at Raza-e-Mustafa]] """,ar.wikipedia.org
2026-09-24T15:14:55Z,إد_هنري_(صحفي),10521292,يزن البلوي,99,أنشأ الصفحة ب'{{ميز|إد هنري}}{{تحرر}} '''إد هنري''' هو == المراجع == {{مراجع}}',ar.wikipedia.org
