created_at,article,pageid,user,bytes,comment,project
2026-09-24T03:45:11Z,عديم_النفع_(فيلم),10521044,أبو الحسن الرضوي,19347,أنشأ الصفحة ب'{{صندوق معلومات فيلم | الاسم = واستمان | اسم اصلي = Wasteman | عنوان الصورة = ملصق الإصدار السينمائي | مخرج = كال مكماو | الإنتاج = {{قائمة بسيطة| * صوفيا غيبر * مايلز باين * فيليب بارا…,ar.wikipedia.org
2026-09-24T03:57:33Z,توم_بليث,10521045,أبو الحسن الرضوي,20625,أنشأ الصفحة ب'{{صندوق معلومات شخص | الاسم = توم بليث | الاسم الأصلي = Tom Blyth | الصورة = Tom Blyth - Bull run.jpg | تعليق الصورة = بليث في عام 2022 | اسم الولادة = توم كير بليث | تاريخ الولادة = {{…,ar.wikipedia.org
