created_at,article,pageid,user,bytes,comment,project
2026-09-26T17:23:52Z,Kolombiya_erkek_millî_voleybol_takımı,4752856,Rucar2025,1971,"""{{millî voleybol takımı bilgi kutusu | ad = Kolombiya |görsel = Flag of Colombia.svg |görselkenarlığı = yes | federasyon = Kolombiya Voleybol Federasyonu |resmîsite = | konfederasyon = CSV | cinsiye…",tr.wikipedia.org
2026-09-26T17:25:12Z,Daniel_Dardha,4752857,Superyetkin,1137,yeni madde,tr.wikipedia.org
2026-09-26T17:34:28Z,Libya_erkek_millî_voleybol_takımı,4752861,Rucar2025,2112,"""{{millî voleybol takımı bilgi kutusu | ad = Libya |görsel = Flag of Libya.svg |görselkenarlığı = yes | federasyon = Libya Voleybol Federasyonu |resmîsite = | konfederasyon = CAVB | cinsiyet = erkek…",tr.wikipedia.org
2026-09-26T17:50:52Z,Ali_Badra_Diabaté,4752877,𐰇𐱅𐰚𐰤,14233,"""{{futbolcu bilgi kutusu | ad = Ali Badra Diabaté | resim = | resimboyutu = | altyazı = | doğumtarihi = {{doğum tarihi ve yaşı|2006|12|5}} | doğumyeri = [[Abidjan]], [[Fildişi Sahili]] | boyu = {{boy…",tr.wikipedia.org
