created_at,article,pageid,user,bytes,comment,project
2026-09-23T16:19:34Z,Goodnight,6079285,J9B5,4508,"[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Infobox single | Titel = Goodnight | Artiest = [[Roy Orbison]] | van Album = [[Orbisongs]] | B-kant = ""Only with You""<ref name=""dutchcharts"">[https://dutchch…",nl.wikipedia.org
2026-09-23T16:39:28Z,José_de_Córdova_y_Ramos,6079286,Magalhães,16599,nieuw; vanaf mijn kladblok,nl.wikipedia.org
2026-09-23T16:59:50Z,Galvarinus,6079287,Wikidieren,1944,[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Taxobox reptiel | titelweergave = cursief | naam = ''Galvarinus'' | afbeelding = Tachymenis chilensis2.jpg | afbeeldingtekst = ''[[Galvarinus chilensis]]'' |…,nl.wikipedia.org
2026-09-23T17:02:07Z,Cambuur_Leeuwarden_in_het_seizoen_1990/91,6079288,SCPEC1910,7683,[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Infobox voetbalclub | naamclub = Cambuur Leeuwarden — seizoen 1990/1991 | volledigenaam = | afbeelding = | onderschrift = | oprichting = [[19 juni]] [[1964]]…,nl.wikipedia.org
2026-09-23T17:02:10Z,Cambuur_Leeuwarden_in_het_seizoen_1991/92,6079289,SCPEC1910,8403,[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Infobox voetbalclub | naamclub = Cambuur Leeuwarden — seizoen 1991/1992 | volledigenaam = | afbeelding = | onderschrift = | oprichting = [[19 juni]] [[1964]]…,nl.wikipedia.org
