created_at,article,pageid,user,bytes,comment,project
2026-09-23T17:45:46Z,Polyplocologie,6079299,Phyntis,3697,Nieuw artikel,nl.wikipedia.org
2026-09-23T17:58:39Z,Oorlogsmonument_Sint-Maria-Oudenhove,6079301,FrDr,2133,[[WP:GS|Nieuwe pagina aangemaakt]] met '[[File:Oorlogsmonument_Sint-Maria-Oudenhove.jpg|thumb]] Het '''Oorlogsmonument Sint-Maria-Oudenhove''' is een monument ter nagedachtenis van de militaire en bu…,nl.wikipedia.org
2026-09-23T18:05:25Z,Oorlogsmonument_Grotenberge,6079302,FrDr,1623,[[WP:GS|Nieuwe pagina aangemaakt]] met '[[File:Kerk_Grotenberge_02.jpg|thumb]] Het '''Oorlogsmonument Grotenberge''' is een monument ter nagedachtenis van de militaire en burgerlijke slachtoffers van…,nl.wikipedia.org
