created_at,article,pageid,user,bytes,comment,project
2026-09-24T15:42:52Z,White-label-produkt,9054586,Frodlekis,830,"Skapad genom översättning av ""[[:en:Special:Redirect/revision/1353709510|White-label product]]""",sv.wikipedia.org
2026-09-24T15:54:25Z,Victoria_Rönnefall,9054591,~2026-51568-79,2017,"[[Wikipedia:Automatisk sammanfattning|←]]Skapade sidan med '{{Faktamall biografi WD}} '''Anna ''Victoria'' Sophia Rönnefall''', född [[14 november]] [[2006]] i [[Uppsala]],<ref>{{Webbref|titel=Victor…",sv.wikipedia.org
2026-09-24T16:03:44Z,Spud_Miltons_galna_äventyr,9054593,Frodlekis,990,[[Wikipedia:Automatisk sammanfattning|←]]Skapade sidan med '{{Faktamall film WD}} '''''Spud Miltons galna äventyr''''' (originaltitel: ''Spud'') är en sydafrikansk [[komedifilm]] från [[filmåret 2010…,sv.wikipedia.org
