created_at,article,pageid,user,bytes,comment,project
2026-09-25T07:21:31Z,スーパーウェポン,5298671,椿六十郎,762,新規作成,ja.wikipedia.org
2026-09-25T07:23:40Z,島嶼矮小化,5298672,Watata123,61864,"この記事は英語版ウィキペディアの[[en:Insular dwarfism]]（版日時: 19:46, 19 September 2026(UTC)）を翻訳・改稿したものです。",ja.wikipedia.org
2026-09-25T07:41:29Z,新奇恐怖症,5298675,Watata123,16976,"この記事は英語版ウィキペディアの[[en:Neophobia]]（版日時:20:32, 24 August 2026(UTC)）を翻訳・改稿したものです。",ja.wikipedia.org
2026-09-25T07:44:54Z,世界の最新兵器_スーパーウェポン,5298677,椿六十郎,784,新規作成,ja.wikipedia.org
2026-09-25T07:47:20Z,木村琉音,5298678,TTT723yhy,4490,新規作成,ja.wikipedia.org
2026-09-25T07:51:13Z,坑口事変,5298679,Horsehealth36,23225,[[zh:坑口事变]] ( 2025年10月23日 (木) 16:28 ) を翻訳,ja.wikipedia.org
2026-09-25T07:51:58Z,ミシガン大学ディアボーン校,5298681,~2026-51416-40,10612,[[WP:AES|←]]新しいページ: 「{{Infobox_University | name = ミシガン大学ディアボーン校 | native_name = University of Michigan-Dearborn | image_name = UMDCASL.jpg | image_size = 290px | caption = | latin_name = | motto = L…,ja.wikipedia.org
2026-09-25T07:52:10Z,マチャ,5298682,カラ,3531,[[WP:AES|←]]新しいページ: 「'''マチャ'''（{{Lang-mn|Mača}}、? - ?）は、モンゴル帝国に仕えた将軍の一人で、[[ナイマン]]部の出身。 『[[元史]]』などの[[漢文]][[史料]]では'''麻察'''(máchá)と表記される。 == 概要 == === 生い立ち === マチャの一族は元来[[ナイマン|ナイマン・ウルス]]に属しており、マチャの祖父のブラ…,ja.wikipedia.org
2026-09-25T07:52:21Z,コンドル軍団行進曲,5298683,~2026-43246-55,320,ページ作成,ja.wikipedia.org
2026-09-25T07:53:19Z,塩化インジウム(I),5298684,Sea ws,5022,"[[:en:Indium(I) chloride]] 19:08, 16 April 2026 UTCより翻訳",ja.wikipedia.org
2026-09-25T07:59:59Z,2024年FIA_F2メルボルン・ラウンド,5298687,コロボ,24824,"[[en:2024 Melbourne Formula 2 round]] (22:51, 8 August 2025 UTC)を翻訳",ja.wikipedia.org
2026-09-25T08:06:13Z,白雀園粛反,5298688,Horsehealth36,6206,[[zh:白雀园肃反]] (2026年8月26日 (水) 02:30) を翻訳,ja.wikipedia.org
2026-09-25T08:09:40Z,シドニー・ホールの失踪,5298690,贅沢,5936,[[:en:The Vanishing of Sidney Hall]] の2026-08-17 (UTC) 版を翻訳して作成。,ja.wikipedia.org
