created_at,article,pageid,user,bytes,comment,project
2026-09-24T21:26:20Z,Engelbert_Zogmann,13986608,XaviYuahanda,2406,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Fußballspieler | kurzname = | bildname = | bildunterschrift = | langname = | geburtstag = [[7. F…,de.wikipedia.org
2026-09-24T21:32:03Z,Maidin_Tom_Rave,13986611,Mesigu1369,1562,hinzufügen eines Artikels über Schauspieler Maidin Tom Rave,de.wikipedia.org
2026-09-24T21:36:26Z,Andreas_Zsifkovits,13986612,XaviYuahanda,2081,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Fußballspieler | kurzname = | bildname = | bildunterschrift = | langname = | geburtstag = [[14.…,de.wikipedia.org
2026-09-24T21:46:47Z,Eda_Terkan,13986614,Jcornelius,2266,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: '''Eda Terkan''' (geboren [[1993]] in [[Itzehoe]]) ist eine deutsche Politikerin ([[Die Linke]]). Sie ist…,de.wikipedia.org
2026-09-24T21:55:25Z,Dakotadon,13986619,Deinosuchia,4198,Neu,de.wikipedia.org
2026-09-24T22:00:15Z,Ludas,13986627,JasN,3962,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Ort in Ungarn |Name = |Wappen = HUN Ludas Címer.svg |Karte = |lat_deg = 47 | lat_min = 43 | lat_…,de.wikipedia.org
