created_at,article,pageid,user,bytes,comment,project
2026-09-26T14:22:13Z,Aenne_Görling,13988360,Begas89,8376,"[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: '''Aenne Görling''', bürgerlich ''Anna Erwig'' oder ''Anna Görling-Erwig''<ref name="":1"">{{Literatur |Auto…",de.wikipedia.org
2026-09-26T14:30:57Z,Olympische_Jugend-Sommerspiele_2026/Teilnehmer_(Aruba),13988369,Florian100100,2013,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: [[Datei:Dakar_2026_Summer_Youth_Olympic_Games.svg|rahmenlos|rand|rechts|hochkant=0.48]] {{Olympiabilanz|Fl…,de.wikipedia.org
2026-09-26T14:32:11Z,Walter_Leslie_(General),13988371,Marcus.palapar,6155,"[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: Sir '''Walter Stewart Leslie''', [[Order of the Bath|KCB]], [[Order of the British Empire|KBE]], [[Order o…",de.wikipedia.org
2026-09-26T14:41:54Z,Siebengebirgs-Zeitung,13988377,Fogrfyr,1497,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: Die '''Siebengebirgs-Zeitung''' war eine in Königswinter hergestellte lokale bzw. regionale Zeitung. Sie w…,de.wikipedia.org
2026-09-26T14:47:52Z,Anne_Marie_Engtoft_Meldgaard,13988381,Lehmannro,2642,grundlegende Eckpfeiler,de.wikipedia.org
2026-09-26T14:52:28Z,Emmanuel_Chukwuemeka,13988382,SK Sturm Fan,2969,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Fußballspieler | kurzname = | bildname = | bildunterschrift = | langname = Emmanuel Onuora Chukw…,de.wikipedia.org
2026-09-26T14:56:03Z,Sarah_Ernst,13988383,Carolus requiescat,5775,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Fußballspieler | mw = w | kurzname = | bildname = | bildunterschrift = | langname = | geburtstag…,de.wikipedia.org
2026-09-26T15:00:33Z,Minshu_Kaikaku_no_Kai,13988386,Asakura Akira,6906,Ein Anfang,de.wikipedia.org
2026-09-26T15:10:21Z,Sinclair_User,13988396,Matthias M.,2557,neuer Artikel [[m:Web2Cit|#Web2Cit]],de.wikipedia.org
